句子,层,Token,曲率 K(t),曲率演化速率,平均欧氏距离 D(t),距离变化率 |ΔD(L)|,语义漂移系数 S(t)
江河湖海都是水,0,江,0.0001482079213618,0.0,0.0,0.0,0.0
江河湖海都是水,0,河,0.0001853574737186,3.7149552356800536e-05,0.0,0.0,0.290722843453704
江河湖海都是水,0,湖,0.0006726683926243,0.0004873109189057,0.0,0.0,0.3567904317780921
江河湖海都是水,0,海,-4.021218124274258e-05,-0.000712880573867,0.0,0.0,0.3908379131104817
江河湖海都是水,0,都是,0.0006900357653884,0.0007302479466312,0.0,0.0,0.4913808716488417
江河湖海都是水,0,水,-1.1306495091760936e-05,-0.0007013422604802,0.0,0.0,0.4237578220217506
江河湖海都是水,1,江,-0.0001877786306663,-0.0001764721355745,0.9002474074440036,0.9002474074440036,0.0
江河湖海都是水,1,河,7.946945156609112e-06,0.0001957255758229,0.9620536503567848,0.0618062429127813,0.0019478470309644
江河湖海都是水,1,湖,-0.0002322083722416,-0.0002401553173983,0.0,0.9620536503567848,0.0156314207752972
江河湖海都是水,1,海,0.0001257572917238,0.0003579656639655,0.0,0.0,0.022538724546828
江河湖海都是水,1,都是,-0.0001662073258544,-0.0002919646175782,0.0,0.0,0.0269125531846547
江河湖海都是水,1,水,0.0006030573819973,0.0007692647078517,0.0,0.0,0.0246236107757954
江河湖海都是水,2,江,-0.0001072882576169,-0.0007103456396142,0.864656052417225,0.864656052417225,0.0
江河湖海都是水,2,河,0.000176283568515,0.0002835718261319,0.902427549459831,0.0377714970426059,0.0013428982722793
江河湖海都是水,2,湖,-0.0001222228159829,-0.0002985063844979,0.9460660825761956,0.0436385331163645,0.0021002683808206
江河湖海都是水,2,海,-7.999714688278023e-05,4.2225669100146514e-05,0.0,0.9460660825761956,0.0102723973417301
江河湖海都是水,2,都是,-7.0971173309645e-05,9.025973573135226e-06,0.0,0.0,0.0074785982714344
江河湖海都是水,2,水,0.0001507194993671,0.0002216906726767,0.0,0.0,0.0135941819527472
江河湖海都是水,3,江,0.0001647055398541,1.3986040486995388e-05,0.0,0.0,0.0
江河湖海都是水,3,河,0.0009083163434395,0.0007436108035853,1.011515597619309,1.011515597619309,0.0013990738466865
江河湖海都是水,3,湖,-0.0009678784275611,-0.0018761947710006,1.0132863254874636,0.0017707278681542,0.0012617239941524
江河湖海都是水,3,海,-5.798794623050921e-05,0.0009098904813306,0.0,1.0132863254874636,0.016246944489867
江河湖海都是水,3,都是,-3.864818534614801e-06,5.412312769589441e-05,0.0,0.0,0.0079955688015885
江河湖海都是水,3,水,-7.596413354304181e-07,3.1051771991843825e-06,0.0,0.0,0.0170900364823407
江河湖海都是水,4,江,0.0025343515774891,0.0025351112188245,0.0,0.0,0.0
江河湖海都是水,4,河,0.0012727532016388,-0.0012615983758502,0.8998746871819923,0.8998746871819923,5.926922772668583e-05
江河湖海都是水,4,湖,0.0001909607370973,-0.0010817924645415,0.881989410467549,0.0178852767144432,5.926097620908086e-05
江河湖海都是水,4,海,0.0002743526797929,8.339194269564443e-05,0.8951839035384977,0.0131944930709487,5.930845613204484e-05
江河湖海都是水,4,都是,0.0003351590563491,6.080637655619963e-05,0.0,0.8951839035384977,0.0003276523740615
江河湖海都是水,4,水,0.0003033586259186,-3.180043043049188e-05,0.0,0.0,0.0003274703623238
江河湖海都是水,5,江,0.0026585053299718,0.0023551467040531,0.0,0.0,0.0
江河湖海都是水,5,河,0.0010864326924212,-0.0015720726375506,0.7086309134428778,0.7086309134428778,5.906168487966473e-05
江河湖海都是水,5,湖,5.8575394090216624e-05,-0.0010278572983309,0.807435281027759,0.0988043675848812,5.908209968428154e-05
江河湖海都是水,5,海,-0.000315698564467,-0.0003742739585572,0.7520393750140417,0.0553959060137172,5.916596575181387e-05
江河湖海都是水,5,都是,1.0664343444461076e-05,0.0003263629079114,0.0,0.7520393750140417,0.0003269930058253
江河湖海都是水,5,水,-9.180614782615978e-05,-0.0001024704912706,0.0,0.0,0.0003267626995152
江河湖海都是水,6,江,0.0020323719213218,0.0021241780691479,0.0,0.0,0.0
江河湖海都是水,6,河,0.0010850346666822,-0.0009473372546395,0.7130497991631812,0.7130497991631812,5.814359670147861e-05
江河湖海都是水,6,湖,-0.0001840130655534,-0.0012690477322356,0.8331526099492547,0.1201028107860734,5.814185783414795e-05
江河湖海都是水,6,海,4.96920831124866e-05,0.0002337051486659,0.7948469873530803,0.0383056225961743,5.820153726144738e-05
江河湖海都是水,6,都是,1.5995254981365027e-05,-3.369682813112157e-05,0.0,0.7948469873530803,0.0003213056649077
江河湖海都是水,6,水,-3.209505729711269e-05,-4.809031227847772e-05,0.622558294519372,0.622558294519372,5.8165781779989706e-05
江河湖海都是水,7,江,0.0012033454539905,0.0012354405112876,0.0,0.622558294519372,0.0
江河湖海都是水,7,河,0.0004330734690224,-0.000770271984968,0.6985280219172777,0.6985280219172777,5.8122167515434965e-05
江河湖海都是水,7,湖,-9.443164996555698e-05,-0.000527505118988,0.837719792123906,0.1391917702066283,5.811989500737402e-05
江河湖海都是水,7,海,7.24080965634998e-05,0.000166839746529,0.8143762819686262,0.0233435101552798,5.816580869817033e-05
江河湖海都是水,7,都是,1.3527779340421478e-05,-5.888031722307833e-05,0.0,0.8143762819686262,0.00032108572243
江河湖海都是水,7,水,0.0004117328960249,0.0003982051166845,0.5996344795225419,0.5996344795225419,5.81074026958168e-05
江河湖海都是水,8,江,0.0011648773209009,0.000753144424876,0.0,0.5996344795225419,0.0
江河湖海都是水,8,河,0.0003222648013745,-0.0008426125195263,0.673795206995875,0.673795206995875,5.806847821949384e-05
江河湖海都是水,8,湖,9.288724359759198e-06,-0.0003129760770148,0.8126623462704524,0.1388671392745774,5.807078889583161e-05
江河湖海都是水,8,海,-1.6888213976606627e-05,-2.6176938336365824e-05,0.8003330939970935,0.0123292522733589,5.814754856859446e-05
江河湖海都是水,8,都是,1.3366054451727815e-05,3.0254268428334443e-05,0.0,0.8003330939970935,0.0003211253181493
江河湖海都是水,8,水,0.0006033414293023,0.0005899753748505,0.5810768748352684,0.5810768748352684,5.80974609831303e-05
江河湖海都是水,9,江,0.0007984617305723,0.00019512030127,0.0,0.5810768748352684,0.0
江河湖海都是水,9,河,-0.0001374912163168,-0.0009359529468891,0.6600631236055262,0.6600631236055262,5.804213800449559e-05
江河湖海都是水,9,湖,-0.0001837795640523,-4.628834773551767e-05,0.7730982036217138,0.1130350800161875,5.8046185993922696e-05
江河湖海都是水,9,海,-6.417731736007521e-05,0.0001196022466922,0.7074827131192939,0.0656154905024198,5.811182319847171e-05
江河湖海都是水,9,都是,5.394396867675223e-05,0.0001181212860368,0.0,0.7074827131192939,0.000320866286467
江河湖海都是水,9,水,0.0001429549379616,8.9010969284861e-05,0.0,0.0,0.0003204768105479
江河湖海都是水,10,江,0.0005787928427266,0.000435837904765,0.0,0.0,0.0
江河湖海都是水,10,河,-8.81763778319529e-05,-0.0006669692205585,0.6263246515605467,0.6263246515605467,5.79677466672537e-05
江河湖海都是水,10,湖,0.0004960860509234,0.0005842624287553,0.7866029760653003,0.1602783245047535,5.7977463427872944e-05
江河湖海都是水,10,海,-9.05586195467464e-06,-0.000505141912878,0.6604035381527185,0.1261994379125818,0.0007786281564465
江河湖海都是水,10,都是,0.0001167572882682,0.0001258131502229,0.0,0.6604035381527185,0.0003236908546929
江河湖海都是水,10,水,0.0015957152112855,0.0014789579230172,0.7248858494840088,0.7248858494840088,5.80569358266688e-05
江河湖海都是水,11,江,0.0005991065229969,-0.0009966086882886,0.0,0.7248858494840088,0.0
江河湖海都是水,11,河,-0.0002768928841431,-0.00087599940714,0.6204149561068738,0.6204149561068738,5.794891019365872e-05
江河湖海都是水,11,湖,4.658460278689581e-05,0.00032347748693,0.7980962946029073,0.1776813384960335,0.0009948908669214
